job title,company name,date,location,skills,links
Devops Engineer,Techno-Ways -,1 month ago,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · AWS · Computer Science · DevOps · Docker · Engineering · Information Technology (IT) · Git,/jobs/p/RzoPaMpXSrRg-Devops-Engineer-Techno-Ways-Cairo-Egypt?o=92&l=sp&t=sj&a=python|search-v3|hpb
Power BI Developer,Confidential -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analyzing data · Power BI · Powerbi · Data · Information Technology (IT) · Python · Telecom Engineering,/jobs/p/7JFufOdUk7wT-Power-BI-Developer-Cairo-Egypt?o=93&l=sp&t=sj&a=python|search-v3|hpb
Back-End Developer,Reno Systems -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · Engineering · Django · Linux · Git · Apache,/jobs/p/msP51Z7G4yNw-Back-End-Developer-Reno-Systems-Cairo-Egypt?o=94&l=sp&t=sj&a=python|search-v3|hpb
Senior C++ Software Developer,Luxoft (A DXC Technology Company) -,1 month ago,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · OOP · Information Technology (IT) · Engineering · Telecommunication · German · Computer Science · Development,/jobs/p/Xa06oSsc5qnT-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=95&l=sp&t=sj&a=python|search-v3|hpb
Front End Developer - Intern,Dottopia -,1 month ago,"Agouza, Giza, Egypt ",InternshipEntry Level · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Design · English · Information Technology (IT) · JavaScript · Programming · Python · Software Development,/jobs/p/a1qWiKPpWqxg-Front-End-Developer---Intern-Dottopia-Giza-Egypt?o=96&l=sp&t=sj&a=python|search-v3|hpb
Desktop Applications Junior Developer,SIMS OFFSHORE -,1 month ago,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Computer Science · Information Technology (IT) · MySQL · Software Engineering · Framework · ADO.Net · Mysql Database,/jobs/p/PPdbWSpBD8po-Desktop-Applications-Junior-Developer-SIMS-OFFSHORE-Giza-Egypt?o=97&l=sp&t=sj&a=python|search-v3|hpb
Senior Data Scientist (m/f/d) - Remote Friendly,Sellics -,1 month ago,"Berlin, Germany ",Full TimeWork From HomeExperienced · 4 - 12 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Machine Learning · Data Science · Python · SQL · Data · Computer Science · Information Technology (IT),/jobs/p/nQ3y4OZh8bfl-Senior-Data-Scientist-mfd---Remote-Friendly-Sellics-Berlin-Germany?o=98&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,Expleo -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Java · Information Technology (IT) · Azure DevOps Server · Git · Software Development · Computer Science · AWS,/jobs/p/FMu0khwAsMiI-Senior-Devops-Engineer-Expleo-Cairo-Egypt?o=99&l=sp&t=sj&a=python|search-v3|hpb
Data Scientist,Maxab -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Python · Tableau · Computer Science · Information Technology (IT) · Data Analysis · Big Data Analytics,/jobs/p/fRC3zWgXtqMp-Data-Scientist-Maxab-Cairo-Egypt?o=100&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Engineer,LxT -,1 month ago,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · Python · Programming · Software Development · Testing · Agile · AWS Cloud · Flask,/jobs/p/mHG1xO6JFYW7-Senior-Backend-Engineer-LxT-Giza-Egypt?o=101&l=sp&t=sj&a=python|search-v3|hpb
Ruby on Rails Developer (Back End),Tays -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Software Development · Information Technology (IT) · Software Engineering · Computer Engineering · HTML · JavaScript,/jobs/p/i31ICMCBI5yU-Ruby-on-Rails-Developer-Back-End-Tays-Cairo-Egypt?o=102&l=sp&t=sj&a=python|search-v3|hpb
Junior Backend Developer,SSC Egypt -,2 months ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · backend · Computer Science · CSS · HTML · Information Technology (IT) · Java · JavaScript,/jobs/p/mpSd0slNGv3M-Junior-Backend-Developer-SSC-Egypt-Cairo-Egypt?o=103&l=sp&t=sj&a=python|search-v3|hpb
Senior Backend Developer,SSC Egypt -,2 months ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · backend · Computer Science · CSS · HTML · Information Technology (IT) · Java · JavaScript,/jobs/p/4HSZz47mNqFU-Senior-Backend-Developer-SSC-Egypt-Cairo-Egypt?o=104&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer,SSC Egypt -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · DevOps · Azure DevOps Server · CI/CD · Computer Science · Azure · Docker · Engineering · Information Technology (IT),/jobs/p/kGG7aaVQMZZC-Senior-DevOps-Engineer-SSC-Egypt-Cairo-Egypt?o=105&l=sp&t=sj&a=python|search-v3|hpb
Senior Big Data Engineers,BBI-Consultancy -,1 month ago,"Abu Dhabi, United Arab Emirates ",Full TimeWork From HomeExperienced · 7 - 10 Yrs of Exp · Banking · IT/Software Development · Engineering - Telecom/Technology · Big Data · Data Science · Python · Kafka · Spark,/jobs/p/5EBOFMSD1Bii-Senior-Big-Data-Engineers-BBI-Consultancy-Abu-Dhabi-United-Arab-Emirates?o=106&l=sp&t=sj&a=python|search-v3|hpb
Software Engineer,Aseel -,1 month ago,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · IT/Software Development · Engineering - Telecom/Technology · HTML5 · PHP · JavaScript · C++ · SQL Server · .Net · Information Technology (IT) · CSS,/jobs/p/MLaP8mqcf3Sb-Software-Engineer-Aseel-Cairo-Egypt?o=107&l=sp&t=sj&a=python|search-v3|hpb
Senior Technical Lead,Squadio -,2 months ago,"Alexandria, Egypt ",Full TimeWork From HomeExperienced · 10 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Technical Lead · Software Development · React js · Python · React · Startup,/jobs/p/AhhiMn7DMVox-Senior-Technical-Lead-Squadio-Alexandria-Egypt?o=108&l=sp&t=sj&a=python|search-v3|hpb
Full Stack Technical Lead,RDI -,2 months ago,"Dokki, Giza, Egypt ",Full TimeManager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Full Stack Development · JavaScript · Flask · Spring Boot · Django · Python,/jobs/p/ln6Clohx8m14-Full-Stack-Technical-Lead-RDI-Giza-Egypt?o=109&l=sp&t=sj&a=python|search-v3|hpb
Algorithm Engineer,Tahaluf Al Emarat Technical Solutions -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Algorithms · CUDA · Computer Science · Git · Engineering · Software Engineering · C · Design,/jobs/p/DjexrRYn6C0W-Algorithm-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=110&l=sp&t=sj&a=python|search-v3|hpb
NLP Engineer,Tahaluf Al Emarat Technical Solutions -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · NLP · ML · Machine Learning · Data Science · Python · TensorFlow · NumPy,/jobs/p/EfZo2CfXaON8-NLP-Engineer-Tahaluf-Al-Emarat-Technical-Solutions-Cairo-Egypt?o=111&l=sp&t=sj&a=python|search-v3|hpb
Data Scientist,Fixed Solutions -,2 months ago,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Computer Science · Data Science · data scientist · Engineering · Information Technology (IT) · Java · Machine Learning,/jobs/p/rkQ7JHkEd4ke-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=112&l=sp&t=sj&a=python|search-v3|hpb
Senior Devops Engineer,Trufla -,2 months ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · AWS · Azure · Cloud · Computer Science · Docker · Engineering · Information Technology (IT),/jobs/p/biaLPnEUTxtW-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=113&l=sp&t=sj&a=python|search-v3|hpb
NodeJS Backend Developer,Genwin -,2 months ago,"Obour City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Computer Science · Information Technology (IT) · Software Development · Microservices · NoSQL · Nodejs · javaScript,/jobs/p/H7vpe4dKj9JS-NodeJS-Backend-Developer-Genwin-Cairo-Egypt?o=114&l=sp&t=sj&a=python|search-v3|hpb
Junior Backend Engineer,LxT -,2 months ago,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Programming · Azure · GCP · Amazon Web Services · Agile,/jobs/p/G7dIVlXGgyzB-Junior-Backend-Engineer-LxT-Giza-Egypt?o=115&l=sp&t=sj&a=python|search-v3|hpb
Devops Engineer,Beyond Solution -,2 months ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · DevOps · Docker · CI/CD · Linux · Python · Engineering · Computer Science,/jobs/p/TK74Y0tMZizR-Devops-Engineer-Beyond-Solution-Cairo-Egypt?o=116&l=sp&t=sj&a=python|search-v3|hpb
IT System Administrator,Sykes Enterprises -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · computer · Computer Engineering · Computer Science · Engineering · English · Information Technology (IT),/jobs/p/L77WvHUyZR5s-IT-System-Administrator-Sykes-Enterprises-Cairo-Egypt?o=117&l=sp&t=sj&a=python|search-v3|hpb
Data Scientist,Paymob Solutions -,2 months ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Data · data scientist · Information Technology (IT) · AWS · Machine Learning,/jobs/p/0jGn5OM1ogU7-Data-Scientist-Paymob-Solutions-Cairo-Egypt?o=118&l=sp&t=sj&a=python|search-v3|hpb
Physics Research Assistant @ |AUC ⟩,Confidential -,2 months ago,"Giza, Egypt ",Full TimePart TimeEntry Level · 0 - 2 Yrs of Exp · R&D/Science · Analyst/Research · Physics · Research · Quantum Mechanics · Quantum Information · Computational Physics · C++ · Latex · Linux,/jobs/p/x57X0A4sAN5Z-Physics-Research-Assistant-AUC-⟩-Giza-Egypt?o=119&l=sp&t=sj&a=python|search-v3|hpb
chat-bot Developer - India,Hakaya -,2 months ago,"New Delhi, India ",Full TimePart TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · chatbot · AI · Computer Science · English · Information Technology (IT) · Python · REST · Software Development,/jobs/p/ks5MVpVZAr5D-chat-bot-Developer---India-Hakaya-New-Delhi-India?o=120&l=sp&t=sj&a=python|search-v3|hpb
DevOps Engineer,IT Systems Corporation -,2 months ago,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Linux · Information Technology (IT) · DevOps · Python · Apache,/jobs/p/fnaQf7I4B2aQ-DevOps-Engineer-IT-Systems-Corporation-Giza-Egypt?o=121&l=sp&t=sj&a=python|search-v3|hpb
Odoo Developer,Pan Marine Group -,2 months ago,"Alexandria, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software · Software Engineering · Software Development · Information Technology (IT) · Computer Science · SQL · Python · javaScript,/jobs/p/eiCNWPs5U0hZ-Odoo-Developer-Pan-Marine-Group-Alexandria-Egypt?o=122&l=sp&t=sj&a=python|search-v3|hpb
Cloud Security Engineer,Softec Technologies -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Security · Software · Engineering · Software Development · Computer Engineering · Information Technology (IT) · Python,/jobs/p/uge2nTP9CkSg-Cloud-Security-Engineer-Softec-Technologies-Cairo-Egypt?o=123&l=sp&t=sj&a=python|search-v3|hpb
DevOps: Site Reliability Engineer/ Support Engineer.,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,/jobs/p/l590sAVfMMkv-DevOps-Site-Reliability-Engineer-Support-Engineer-Cegedim-Cairo-Egypt?o=124&l=sp&t=sj&a=python|search-v3|hpb
Senior DevOps Engineer.,Cegedim -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Administration · Linux · Network Adminstartion · Engineering · Windows Systems · MongoDB · Oracle · PostgreSQL,/jobs/p/a4s02FZDWt5v-Senior-DevOps-Engineer-Cegedim-Cairo-Egypt?o=125&l=sp&t=sj&a=python|search-v3|hpb
